,location,target,type,quantile,forecast_date,target_end_date,value,date,weeklyTruth,sd,ed,factor
0,US,4 wk ahead inc death,quantile,0.5,2020-06-08,2020-07-04,5169.653619359886,2020-07-04,3888,2020-06-27,2020-07-04,0.7520813358635463
1,US,4 wk ahead inc death,quantile,0.5,2020-06-15,2020-07-11,4415.331341079058,2020-07-11,4817,2020-07-04,2020-07-11,1.0909713513873636
2,US,4 wk ahead inc death,quantile,0.5,2020-06-22,2020-07-18,3687.1531915350347,2020-07-18,5350,2020-07-11,2020-07-18,1.4509839223069247
3,US,4 wk ahead inc death,quantile,0.5,2020-06-29,2020-07-25,5278.809305488535,2020-07-25,6432,2020-07-18,2020-07-25,1.2184565927229951
4,US,4 wk ahead inc death,quantile,0.5,2020-07-06,2020-08-01,4320.88420154643,2020-08-01,7770,2020-07-25,2020-08-01,1.7982430534053988
5,US,4 wk ahead inc death,quantile,0.5,2020-07-13,2020-08-08,5978.787021871944,2020-08-08,7286,2020-08-01,2020-08-08,1.2186418371060777
6,US,4 wk ahead inc death,quantile,0.5,2020-07-20,2020-08-15,6419.0,2020-08-15,7104,2020-08-08,2020-08-15,1.1067144415017915
7,US,4 wk ahead inc death,quantile,0.5,2020-07-27,2020-08-22,7198.0,2020-08-22,6866,2020-08-15,2020-08-22,0.9538760766879689
8,US,4 wk ahead inc death,quantile,0.5,2020-08-03,2020-08-29,6588.0,2020-08-29,6393,2020-08-22,2020-08-29,0.9704007285974499
9,US,4 wk ahead inc death,quantile,0.5,2020-08-10,2020-09-05,6876.0,2020-09-05,5995,2020-08-29,2020-09-05,0.8718731820826061
10,US,4 wk ahead inc death,quantile,0.5,2020-08-17,2020-09-12,5575.0,2020-09-12,5194,2020-09-05,2020-09-12,0.9316591928251121
11,US,4 wk ahead inc death,quantile,0.5,2020-08-24,2020-09-19,5945.0,2020-09-19,5585,2020-09-12,2020-09-19,0.9394449116904963
12,US,4 wk ahead inc death,quantile,0.5,2020-08-31,2020-09-26,5294.0,2020-09-26,5326,2020-09-19,2020-09-26,1.0060445787684171
13,US,4 wk ahead inc death,quantile,0.5,2020-09-07,2020-10-03,5309.0,2020-10-03,4982,2020-09-26,2020-10-03,0.9384064795630063
14,US,4 wk ahead inc death,quantile,0.5,2020-09-14,2020-10-10,4550.0,2020-10-10,5052,2020-10-03,2020-10-10,1.1103296703296703
15,US,4 wk ahead inc death,quantile,0.5,2020-09-21,2020-10-17,4980.0,2020-10-17,4902,2020-10-10,2020-10-17,0.9843373493975903
16,US,4 wk ahead inc death,quantile,0.5,2020-09-28,2020-10-24,5007.0,2020-10-24,5556,2020-10-17,2020-10-24,1.10964649490713
17,US,4 wk ahead inc death,quantile,0.5,2020-10-05,2020-10-31,4815.0,2020-10-31,5790,2020-10-24,2020-10-31,1.2024922118380061
18,US,4 wk ahead inc death,quantile,0.5,2020-10-12,2020-11-07,5139.0,2020-11-07,6845,2020-10-31,2020-11-07,1.3319712006226891
19,US,4 wk ahead inc death,quantile,0.5,2020-10-19,2020-11-14,5415.0,2020-11-14,7346,2020-11-07,2020-11-14,1.3566020313942753
20,US,4 wk ahead inc death,quantile,0.5,2020-10-26,2020-11-21,6526.0,2020-11-21,10091,2020-11-14,2020-11-21,1.546276432730616
21,US,4 wk ahead inc death,quantile,0.5,2020-11-02,2020-11-28,7034.0,2020-11-28,10368,2020-11-21,2020-11-28,1.4739835086721638
22,US,4 wk ahead inc death,quantile,0.5,2020-11-09,2020-12-05,8606.0,2020-12-05,14007,2020-11-28,2020-12-05,1.6275854055310248
23,US,4 wk ahead inc death,quantile,0.5,2020-11-16,2020-12-12,11395.0,2020-12-12,16585,2020-12-05,2020-12-12,1.4554629223343571
24,US,4 wk ahead inc death,quantile,0.5,2020-11-23,2020-12-19,15881.0,2020-12-19,18060,2020-12-12,2020-12-19,1.137207984383855
25,US,4 wk ahead inc death,quantile,0.5,2020-11-30,2020-12-26,13210.0,2020-12-26,16636,2020-12-19,2020-12-26,1.2593489780469342
26,US,4 wk ahead inc death,quantile,0.5,2020-12-07,2021-01-02,18190.0,2021-01-02,17542,2020-12-26,2021-01-02,0.9643760307861462
