quantile,value,surveynum,qid
0.01,62500.0,1,6160
0.025,81250.0,1,6160
0.05,93750.0,1,6160
0.1,105000.0,1,6160
0.15,111250.0,1,6160
0.2,115000.0,1,6160
0.25,118750.0,1,6160
0.3,121250.0,1,6160
0.35,125000.0,1,6160
0.4,127500.0,1,6160
0.45,130000.0,1,6160
0.5,132500.0,1,6160
0.55,135000.0,1,6160
0.6,138750.0,1,6160
0.65,141250.0,1,6160
0.7,145000.0,1,6160
0.75,148750.0,1,6160
0.8,153750.0,1,6160
0.85,160000.0,1,6160
0.9,168750.0,1,6160
0.95,192500.0,1,6160
0.975,250000.0,1,6160
0.99,250000.0,1,6160
mode,132500.0,1,6160
0.01,12200.0,1,6161
0.025,14400.0,1,6161
0.05,16000.0,1,6161
0.1,17600.0,1,6161
0.15,18400.0,1,6161
0.2,19200.0,1,6161
0.25,19800.0,1,6161
0.3,20400.0,1,6161
0.35,21000.0,1,6161
0.4,21400.0,1,6161
0.45,22000.0,1,6161
0.5,22400.0,1,6161
0.55,22800.0,1,6161
0.6,23200.0,1,6161
0.65,23600.0,1,6161
0.7,24000.0,1,6161
0.75,24600.0,1,6161
0.8,25200.0,1,6161
0.85,26000.0,1,6161
0.9,27200.0,1,6161
0.95,29200.0,1,6161
0.975,31600.0,1,6161
0.99,36800.0,1,6161
mode,22800.0,1,6161
0.01,765000.0,1,6162
0.025,969000.0,1,6162
0.05,1139000.0,1,6162
0.1,1309000.0,1,6162
0.15,1394000.0,1,6162
0.2,1462000.0,1,6162
0.25,1513000.0,1,6162
0.3,1564000.0,1,6162
0.35,1598000.0,1,6162
0.4,1632000.0,1,6162
0.45,1666000.0,1,6162
0.5,1700000.0,1,6162
0.55,1734000.0,1,6162
0.6,1768000.0,1,6162
0.65,1802000.0,1,6162
0.7,1836000.0,1,6162
0.75,1870000.0,1,6162
0.8,1921000.0,1,6162
0.85,1989000.0,1,6162
0.9,2074000.0,1,6162
0.95,2227000.0,1,6162
0.975,2397000.0,1,6162
0.99,2737000.0,1,6162
mode,1717000.0,1,6162
0.01,0.6600000000000005,1,6163
0.025,0.7950000000000006,1,6163
0.05,0.8850000000000007,1,6163
0.1,0.9900000000000008,1,6163
0.15,1.0350000000000006,1,6163
0.2,1.0800000000000003,1,6163
0.25,1.11,1,6163
0.3,1.14,1,6163
0.35,1.1699999999999997,1,6163
0.4,1.1849999999999996,1,6163
0.45,1.2149999999999994,1,6163
0.5,1.2449999999999992,1,6163
0.55,1.2599999999999991,1,6163
0.6,1.289999999999999,1,6163
0.65,1.3049999999999988,1,6163
0.7,1.3349999999999986,1,6163
0.75,1.3649999999999984,1,6163
0.8,1.409999999999998,1,6163
0.85,1.454999999999998,1,6163
0.9,1.5149999999999977,1,6163
0.95,1.6499999999999966,1,6163
0.975,1.7999999999999956,1,6163
0.99,2.2499999999999964,1,6163
mode,1.2599999999999991,1,6163
0.01,150000.0,1,6164
0.025,220000.0,1,6164
0.05,305000.0,1,6164
0.1,385000.0,1,6164
0.15,420000.0,1,6164
0.2,445000.0,1,6164
0.25,460000.0,1,6164
0.3,475000.0,1,6164
0.35,485000.0,1,6164
0.4,500000.0,1,6164
0.45,510000.0,1,6164
0.5,520000.0,1,6164
0.55,530000.0,1,6164
0.6,545000.0,1,6164
0.65,555000.0,1,6164
0.7,570000.0,1,6164
0.75,590000.0,1,6164
0.8,610000.0,1,6164
0.85,640000.0,1,6164
0.9,690000.0,1,6164
0.95,790000.0,1,6164
0.975,885000.0,1,6164
0.99,1000000.0,1,6164
mode,505000.0,1,6164
0.01,195000.0,1,6165
0.025,270000.0,1,6165
0.05,340000.0,1,6165
0.1,430000.0,1,6165
0.15,485000.0,1,6165
0.2,520000.0,1,6165
0.25,545000.0,1,6165
0.3,570000.0,1,6165
0.35,590000.0,1,6165
0.4,610000.0,1,6165
0.45,630000.0,1,6165
0.5,645000.0,1,6165
0.55,665000.0,1,6165
0.6,680000.0,1,6165
0.65,700000.0,1,6165
0.7,725000.0,1,6165
0.75,750000.0,1,6165
0.8,780000.0,1,6165
0.85,815000.0,1,6165
0.9,870000.0,1,6165
0.95,955000.0,1,6165
0.975,1000000.0,1,6165
0.99,1000000.0,1,6165
mode,640000.0,1,6165
0.01,19.0,1,6166
0.025,34.0,1,6166
0.05,48.5,1,6166
0.1,62.0,1,6166
0.15,68.5,1,6166
0.2,73.0,1,6166
0.25,76.5,1,6166
0.3,79.0,1,6166
0.35,81.5,1,6166
0.4,83.5,1,6166
0.45,85.5,1,6166
0.5,87.5,1,6166
0.55,89.0,1,6166
0.6,90.5,1,6166
0.65,91.5,1,6166
0.7,93.0,1,6166
0.75,94.0,1,6166
0.8,95.0,1,6166
0.85,96.0,1,6166
0.9,97.5,1,6166
0.95,98.5,1,6166
0.975,99.0,1,6166
0.99,99.5,1,6166
mode,94.5,1,6166
